Tag Name,Address,Data Type,Respect Data Type,Client Access,Scan Rate,Scaling,Raw Low,Raw High,Scaled Low,Scaled High,Scaled Data Type,Clamp Low,Clamp High,Eng Units,Description,Negate Value
Down_Backup1,DB1110.DBX0.0,Boolean,1,R/W,100,,,,,,,,,,,
Down_Backup10,DB1110.DBW2,Word,1,R/W,100,,,,,,,,,,,
Down_Backup11,DB1110.DBW4,Word,1,R/W,100,,,,,,,,,,,
Down_Backup12,DB1110.DBW6,Word,1,R/W,100,,,,,,,,,,,
Down_Backup13,DB1110.DBW8,Word,1,R/W,100,,,,,,,,,,,
Down_Backup14,DB1110.DBW10,Word,1,R/W,100,,,,,,,,,,,
Down_Backup15,DB1110.DBD12,DWord,1,R/W,100,,,,,,,,,,,
Down_Backup16,DB1110.DBD16,DWord,1,R/W,100,,,,,,,,,,,
Down_Backup17,DB1110.DBD20,DWord,1,R/W,100,,,,,,,,,,,
Down_Backup18,DB1110.DBD24,DWord,1,R/W,100,,,,,,,,,,,
Down_Backup19,DB1110.DBD28,DWord,1,R/W,100,,,,,,,,,,,
Down_Backup2,DB1110.DBX0.1,Boolean,1,R/W,100,,,,,,,,,,,
Down_Backup3,DB1110.DBX0.2,Boolean,1,R/W,100,,,,,,,,,,,
Down_Backup4,DB1110.DBX0.3,Boolean,1,R/W,100,,,,,,,,,,,
Down_Backup5,DB1110.DBX0.4,Boolean,1,R/W,100,,,,,,,,,,,
Down_Backup6,DB1110.DBX0.5,Boolean,1,R/W,100,,,,,,,,,,,
Down_Backup7,DB1110.DBX0.6,Boolean,1,R/W,100,,,,,,,,,,,
Down_Backup8,DB1110.DBX0.7,Boolean,1,R/W,100,,,,,,,,,,,
Down_Backup9,DB1110.DBB1,Byte,1,R/W,100,,,,,,,,,,,
Down_COMPOS_01,DB10.DBX14.7,Boolean,1,R/W,100,,,,,,,,,,Station 1-Included(1)/Excluded(0),
Down_COMPOS_02,DB10.DBX14.6,Boolean,1,R/W,100,,,,,,,,,,Station 2-Included(1)/Excluded(0),
Down_COMPOS_03,DB10.DBX14.5,Boolean,1,R/W,100,,,,,,,,,,Station 3-Included(1)/Excluded(0),
Down_COMPOS_04,DB10.DBX14.4,Boolean,1,R/W,100,,,,,,,,,,Station 4-Included(1)/Excluded(0),
Down_COMPOS_05,DB10.DBX14.3,Boolean,1,R/W,100,,,,,,,,,,Station 5-Included(1)/Excluded(0),
Down_COMPOS_06,DB10.DBX14.2,Boolean,1,R/W,100,,,,,,,,,,Station 6-Included(1)/Excluded(0),
Down_COMPOS_07,DB10.DBX14.1,Boolean,1,R/W,100,,,,,,,,,,Station 7-Included(1)/Excluded(0),
Down_COMPOS_08,DB10.DBX14.0,Boolean,1,R/W,100,,,,,,,,,,Station 8-Included(1)/Excluded(0),
Down_COMPOS_09,DB10.DBX15.7,Boolean,1,R/W,100,,,,,,,,,,Station 9-Included(1)/Excluded(0),
